id,accepted,monthly_balance_kroner,profit_per_offer_kroner
98,1,3302.44,782.993
99,0,,-22.17
100,0,,-22.17
101,0,,-22.17
102,0,,-22.17
103,0,,-22.17
104,0,,-22.17
105,0,,-22.17
106,0,,-22.17
107,0,,-22.17
108,1,8274.67,32.561
109,1,7937.94,299.648
110,0,,-22.17
111,0,,-22.17
112,0,,-22.17
113,0,,-22.17
114,0,,-22.17
115,0,,-22.17
116,0,,-22.17
117,0,,-22.17
118,0,,-22.17
119,0,,-22.17
120,0,,-22.17
121,0,,-22.17
122,0,,-22.17
123,0,,-22.17
124,0,,-22.17
125,0,,-22.17
126,0,,-22.17
127,0,,-22.17
128,0,,-22.17
129,0,,-22.17
130,0,,-22.17
131,0,,-22.17
132,0,,-22.17
133,0,,-22.17
134,0,,-22.17
135,0,,-22.17
136,0,,-22.17
137,0,,-22.17
138,0,,-22.17
139,0,,-22.17
140,0,,-22.17
141,0,,-22.17
142,0,,-22.17
143,0,,-22.17
144,0,,-22.17
145,0,,-22.17
146,1,4014.49,701.973
147,0,,-22.17
148,0,,-22.17
149,1,787.74,191.996
150,0,,-22.17
151,1,5400.55,193.439
152,0,,-22.17
153,0,,-22.17
154,0,,-22.17
155,0,,-22.17
156,0,,-22.17
157,0,,-22.17
158,1,4030.05,335.699
159,0,,-22.17
160,0,,-22.17
161,0,,-22.17
162,0,,-22.17
163,0,,-22.17
164,0,,-22.17
165,0,,-22.17
166,0,,-22.17
167,0,,-22.17
168,0,,-22.17
169,1,1.2,23.734
170,0,,-22.17
171,0,,-22.17
172,0,,-22.17
173,0,,-22.17
174,0,,-22.17
175,0,,-22.17
176,0,,-22.17
177,0,,-22.17
178,0,,-22.17
179,0,,-22.17
180,0,,-22.17
181,0,,-22.17
182,0,,-22.17
183,0,,-22.17
184,0,,-22.17
185,0,,-22.17
186,0,,-22.17
187,1,18.03,1472.756
188,0,,-22.17
189,1,8545.67,152.851
190,0,,-22.17
191,0,,-22.17
192,0,,-22.17
193,0,,-22.17
194,0,,-22.17
195,1,2280.9,593.937
196,0,,-22.17
197,1,0.0,91.232
198,0,,-22.17
199,1,4598.41,309.658
200,0,,-22.17
201,0,,-22.17
202,0,,-22.17
203,0,,-22.17
204,0,,-22.17
205,0,,-22.17
206,0,,-22.17
207,0,,-22.17
208,1,0.0,118.503
209,0,,-22.17
210,0,,-22.17
211,0,,-22.17
212,0,,-22.17
213,0,,-22.17
214,0,,-22.17
215,0,,-22.17
216,0,,-22.17
217,0,,-22.17
218,0,,-22.17
219,0,,-22.17
220,0,,-22.17
221,0,,-22.17
222,1,80.92,409.052
223,0,,-22.17
224,0,,-22.17
225,0,,-22.17
226,0,,-22.17
227,0,,-22.17
228,1,4829.46,223.744
229,0,,-22.17
230,0,,-22.17
231,0,,-22.17
232,0,,-22.17
233,0,,-22.17
234,0,,-22.17
235,0,,-22.17
236,0,,-22.17
237,1,7409.81,314.672
238,0,,-22.17
239,1,6373.53,237.696
240,0,,-22.17
241,0,,-22.17
242,0,,-22.17
243,0,,-22.17
244,0,,-22.17
245,0,,-22.17
246,0,,-22.17
247,0,,-22.17
248,0,,-22.17
249,0,,-22.17
250,0,,-22.17
251,0,,-22.17
252,1,321.56,94.036
253,0,,-22.17
254,0,,-22.17
255,0,,-22.17
256,0,,-22.17
257,0,,-22.17
258,0,,-22.17
259,1,4464.0,342.32
260,0,,-22.17
261,0,,-22.17
262,0,,-22.17
263,0,,-22.17
264,0,,-22.17
265,0,,-22.17
266,0,,-22.17
267,0,,-22.17
268,0,,-22.17
269,1,3.03,58.34
270,0,,-22.17
271,0,,-22.17
272,0,,-22.17
273,0,,-22.17
274,0,,-22.17
275,0,,-22.17
276,0,,-22.17
277,0,,-22.17
278,0,,-22.17
279,0,,-22.17
280,0,,-22.17
281,0,,-22.17
282,0,,-22.17
283,0,,-22.17
284,1,5.46,563.501
285,0,,-22.17
286,0,,-22.17
287,0,,-22.17
288,1,57.14,109.373
289,0,,-22.17
290,0,,-22.17
291,0,,-22.17
292,0,,-22.17
293,1,3632.45,321.529
294,0,,-22.17
295,0,,-22.17
296,0,,-22.17
297,0,,-22.17
298,0,,-22.17
299,1,399.66,174.578
300,0,,-22.17
301,0,,-22.17
302,0,,-22.17
303,0,,-22.17
304,1,0.01,696.872
305,0,,-22.17
306,0,,-22.17
307,0,,-22.17
308,0,,-22.17
309,0,,-22.17
310,0,,-22.17
311,0,,-22.17
312,0,,-22.17
313,0,,-22.17
314,0,,-22.17
315,1,8443.19,125.468
316,0,,-22.17
317,0,,-22.17
318,0,,-22.17
319,0,,-22.17
320,0,,-22.17
321,0,,-22.17
322,0,,-22.17
323,1,0.03,80.709
324,0,,-22.17
325,0,,-22.17
326,0,,-22.17
327,1,0.24,453.127
328,0,,-22.17
329,0,,-22.17
330,0,,-22.17
331,1,769.51,104.85
332,0,,-22.17
333,0,,-22.17
334,0,,-22.17
335,0,,-22.17
336,1,69.17,71.334
337,0,,-22.17
338,0,,-22.17
339,0,,-22.17
340,0,,-22.17
341,0,,-22.17
342,0,,-22.17
343,1,7608.85,503.2
344,0,,-22.17
345,0,,-22.17
346,0,,-22.17
347,0,,-22.17
348,0,,-22.17
349,0,,-22.17
350,0,,-22.17
351,1,8644.03,880.45
352,0,,-22.17
353,1,1.12,358.229
354,0,,-22.17
355,0,,-22.17
356,0,,-22.17
357,1,3473.29,87.313
358,0,,-22.17
359,0,,-22.17
360,0,,-22.17
361,1,48.55,114.289
362,0,,-22.17
363,0,,-22.17
364,0,,-22.17
365,1,690.36,48.201
366,0,,-22.17
367,0,,-22.17
368,0,,-22.17
369,0,,-22.17
370,0,,-22.17
371,0,,-22.17
372,0,,-22.17
373,0,,-22.17
374,0,,-22.17
375,0,,-22.17
376,0,,-22.17
377,1,8458.55,111.954
378,0,,-22.17
379,0,,-22.17
380,0,,-22.17
381,0,,-22.17
382,0,,-22.17
383,0,,-22.17
384,0,,-22.17
385,0,,-22.17
386,0,,-22.17
387,0,,-22.17
388,0,,-22.17
389,0,,-22.17
390,0,,-22.17
391,1,8601.18,64.436
392,0,,-22.17
393,0,,-22.17
394,0,,-22.17
395,0,,-22.17
396,0,,-22.17
397,0,,-22.17
398,0,,-22.17
399,0,,-22.17
400,0,,-22.17
401,1,4196.49,225.354
402,0,,-22.17
403,1,35.02,232.069
404,0,,-22.17
405,0,,-22.17
406,0,,-22.17
407,0,,-22.17
408,0,,-22.17
409,0,,-22.17
410,0,,-22.17
411,0,,-22.17
412,0,,-22.17
413,0,,-22.17
414,0,,-22.17
415,0,,-22.17
416,0,,-22.17
417,0,,-22.17
418,0,,-22.17
419,0,,-22.17
420,0,,-22.17
421,0,,-22.17
422,0,,-22.17
423,1,6927.03,207.116
424,0,,-22.17
425,0,,-22.17
426,1,580.39,168.857
427,1,5.6,154.408
428,0,,-22.17
429,0,,-22.17
430,0,,-22.17
431,0,,-22.17
432,0,,-22.17
433,0,,-22.17
434,0,,-22.17
435,0,,-22.17
436,0,,-22.17
437,0,,-22.17
438,0,,-22.17
439,0,,-22.17
440,0,,-22.17
441,0,,-22.17
442,0,,-22.17
443,0,,-22.17
444,1,1.71,211.809
445,0,,-22.17
446,0,,-22.17
447,0,,-22.17
448,0,,-22.17
449,1,22.06,89.299
450,0,,-22.17
451,0,,-22.17
452,1,0.02,158.688
453,1,1.52,179.518
454,1,2.15,184.459
455,0,,-22.17
456,0,,-22.17
457,0,,-22.17
458,0,,-22.17
459,0,,-22.17
460,0,,-22.17
461,0,,-22.17
462,0,,-22.17
463,0,,-22.17
464,0,,-22.17
465,1,0.0,138.108
466,0,,-22.17
467,0,,-22.17
468,0,,-22.17
469,0,,-22.17
470,0,,-22.17
471,0,,-22.17
472,0,,-22.17
473,0,,-22.17
474,0,,-22.17
475,0,,-22.17
476,0,,-22.17
477,0,,-22.17
478,0,,-22.17
479,0,,-22.17
480,0,,-22.17
481,0,,-22.17
482,0,,-22.17
483,0,,-22.17
484,0,,-22.17
485,0,,-22.17
486,0,,-22.17
487,0,,-22.17
488,0,,-22.17
489,1,8173.2,357.25
490,0,,-22.17
491,0,,-22.17
492,1,5374.17,75.643
493,0,,-22.17
494,1,57.81,183.213
495,0,,-22.17
496,0,,-22.17
497,0,,-22.17
498,0,,-22.17
499,0,,-22.17
500,1,91.15,334.796
501,1,0.02,186.904
502,0,,-22.17
503,0,,-22.17
504,0,,-22.17
505,0,,-22.17
506,0,,-22.17
507,0,,-22.17
508,0,,-22.17
509,0,,-22.17
510,0,,-22.17
511,0,,-22.17
512,1,0.0,57.889
513,1,0.0,494.672
514,0,,-22.17
515,0,,-22.17
516,0,,-22.17
517,0,,-22.17
518,1,99.93,200.888
519,0,,-22.17
520,0,,-22.17
521,0,,-22.17
522,0,,-22.17
523,0,,-22.17
524,0,,-22.17
525,0,,-22.17
526,0,,-22.17
527,0,,-22.17
528,0,,-22.17
529,0,,-22.17
530,1,4670.8,941.444
531,0,,-22.17
532,0,,-22.17
533,1,427.43,114.309
534,1,0.0,192.783
535,0,,-22.17
536,0,,-22.17
537,0,,-22.17
538,0,,-22.17
539,0,,-22.17
540,0,,-22.17
541,1,103.37,53.742
542,0,,-22.17
543,0,,-22.17
544,0,,-22.17
545,1,3349.21,79.129
546,0,,-22.17
547,0,,-22.17
548,0,,-22.17
549,0,,-22.17
550,0,,-22.17
551,1,4878.76,126.033
552,1,1.14,264.829
553,0,,-22.17
554,0,,-22.17
555,1,645.45,148.664
556,1,420.48,145.552
557,0,,-22.17
558,0,,-22.17
559,0,,-22.17
560,0,,-22.17
561,0,,-22.17
562,0,,-22.17
563,0,,-22.17
564,0,,-22.17
565,0,,-22.17
566,0,,-22.17
567,0,,-22.17
568,0,,-22.17
569,0,,-22.17
570,0,,-22.17
571,0,,-22.17
572,0,,-22.17
573,1,0.03,108.33
574,1,782.95,59.795
575,0,,-22.17
576,0,,-22.17
577,0,,-22.17
578,0,,-22.17
579,0,,-22.17
580,0,,-22.17
581,0,,-22.17
582,1,0.0,205.131
583,0,,-22.17
584,0,,-22.17
585,0,,-22.17
586,0,,-22.17
587,0,,-22.17
588,0,,-22.17
589,0,,-22.17
590,0,,-22.17
591,0,,-22.17
592,0,,-22.17
593,1,424.67,81.537
594,0,,-22.17
595,1,6171.7,448.047
596,0,,-22.17
597,0,,-22.17
598,0,,-22.17
599,1,1435.35,259.943
600,0,,-22.17
601,0,,-22.17
602,0,,-22.17
603,0,,-22.17
604,0,,-22.17
605,0,,-22.17
606,0,,-22.17
607,0,,-22.17
608,1,541.66,346.044
609,0,,-22.17
610,0,,-22.17
611,0,,-22.17
612,1,6.75,177.336
613,0,,-22.17
614,0,,-22.17
615,0,,-22.17
616,0,,-22.17
617,0,,-22.17
618,0,,-22.17
619,0,,-22.17
620,1,2280.52,116.247
621,0,,-22.17
622,0,,-22.17
623,0,,-22.17
624,0,,-22.17
625,0,,-22.17
626,0,,-22.17
627,1,0.0,41.248
628,0,,-22.17
629,0,,-22.17
630,1,0.01,198.181
631,0,,-22.17
632,1,3178.47,94.259
633,0,,-22.17
634,0,,-22.17
635,0,,-22.17
636,0,,-22.17
637,0,,-22.17
638,1,1000.41,195.707
639,0,,-22.17
640,0,,-22.17
641,0,,-22.17
642,1,3508.96,125.222
643,0,,-22.17
644,0,,-22.17
645,0,,-22.17
646,0,,-22.17
647,0,,-22.17
648,0,,-22.17
649,0,,-22.17
650,0,,-22.17
651,0,,-22.17
652,0,,-22.17
653,0,,-22.17
654,0,,-22.17
655,0,,-22.17
656,0,,-22.17
657,0,,-22.17
658,0,,-22.17
659,0,,-22.17
660,0,,-22.17
661,0,,-22.17
662,0,,-22.17
663,0,,-22.17
664,0,,-22.17
665,1,1.11,254.839
666,0,,-22.17
667,0,,-22.17
668,0,,-22.17
669,0,,-22.17
670,1,0.01,18.413
671,0,,-22.17
672,0,,-22.17
673,0,,-22.17
674,0,,-22.17
675,0,,-22.17
676,0,,-22.17
677,0,,-22.17
678,1,75.29,164.197
679,0,,-22.17
680,0,,-22.17
681,0,,-22.17
682,0,,-22.17
683,0,,-22.17
684,0,,-22.17
685,0,,-22.17
686,0,,-22.17
687,0,,-22.17
688,0,,-22.17
689,0,,-22.17
690,0,,-22.17
691,0,,-22.17
692,0,,-22.17
693,0,,-22.17
694,0,,-22.17
695,1,0.03,65.454
696,0,,-22.17
697,0,,-22.17
698,0,,-22.17
699,0,,-22.17
700,1,2872.22,349.973
701,0,,-22.17
702,1,70.37,124.754
703,0,,-22.17
704,0,,-22.17
705,0,,-22.17
706,0,,-22.17
707,1,3.29,55.321
708,0,,-22.17
709,0,,-22.17
710,0,,-22.17
711,0,,-22.17
712,0,,-22.17
713,1,7710.19,99.566
714,1,1372.13,385.84
715,0,,-22.17
716,0,,-22.17
717,0,,-22.17
718,0,,-22.17
719,0,,-22.17
720,1,2529.87,449.931
721,0,,-22.17
722,0,,-22.17
723,1,7580.93,520.454
724,0,,-22.17
725,0,,-22.17
726,0,,-22.17
727,0,,-22.17
728,1,0.25,86.426
729,0,,-22.17
730,1,340.39,47.549
731,0,,-22.17
732,0,,-22.17
733,1,0.47,192.977
734,0,,-22.17
735,1,33.12,98.489
736,0,,-22.17
737,0,,-22.17
738,0,,-22.17
739,0,,-22.17
740,0,,-22.17
741,0,,-22.17
742,0,,-22.17
743,0,,-22.17
744,0,,-22.17
745,0,,-22.17
746,0,,-22.17
747,0,,-22.17
748,0,,-22.17
749,0,,-22.17
750,0,,-22.17
751,0,,-22.17
752,0,,-22.17
753,1,41.99,90.759
754,0,,-22.17
755,0,,-22.17
756,0,,-22.17
757,0,,-22.17
758,0,,-22.17
759,0,,-22.17
760,1,7116.78,542.994
761,0,,-22.17
762,0,,-22.17
763,0,,-22.17
764,0,,-22.17
765,0,,-22.17
766,0,,-22.17
767,0,,-22.17
768,0,,-22.17
769,1,2.5,203.153
770,0,,-22.17
771,0,,-22.17
772,1,14.58,60.521
773,0,,-22.17
774,1,1749.23,129.923
775,0,,-22.17
776,0,,-22.17
777,0,,-22.17
778,0,,-22.17
779,0,,-22.17
780,0,,-22.17
781,0,,-22.17
782,0,,-22.17
783,1,7295.64,93.352
784,0,,-22.17
785,1,363.34,83.59
786,0,,-22.17
787,0,,-22.17
788,0,,-22.17
789,0,,-22.17
790,1,0.45,105.535
791,0,,-22.17
792,0,,-22.17
793,0,,-22.17
794,0,,-22.17
795,0,,-22.17
796,1,1062.65,125.818
797,0,,-22.17
798,0,,-22.17
799,0,,-22.17
800,0,,-22.17
801,0,,-22.17
802,0,,-22.17
803,0,,-22.17
804,0,,-22.17
805,0,,-22.17
806,0,,-22.17
807,0,,-22.17
808,0,,-22.17
809,0,,-22.17
810,0,,-22.17
811,0,,-22.17
812,1,168.95,128.882
813,1,5458.02,81.493
814,1,145.58,71.127
815,0,,-22.17
816,0,,-22.17
817,0,,-22.17
818,0,,-22.17
819,0,,-22.17
820,0,,-22.17
821,0,,-22.17
822,0,,-22.17
823,1,8103.81,90.138
824,0,,-22.17
825,0,,-22.17
826,0,,-22.17
827,1,3127.3,64.536
828,0,,-22.17
829,0,,-22.17
830,0,,-22.17
831,0,,-22.17
832,0,,-22.17
833,1,2744.87,298.861
834,0,,-22.17
835,0,,-22.17
836,0,,-22.17
837,1,12.05,178.087
838,0,,-22.17
839,0,,-22.17
840,0,,-22.17
841,1,0.11,53.529
842,0,,-22.17
843,0,,-22.17
844,0,,-22.17
845,0,,-22.17
846,0,,-22.17
847,0,,-22.17
848,0,,-22.17
849,0,,-22.17
850,0,,-22.17
851,0,,-22.17
852,0,,-22.17
853,0,,-22.17
854,0,,-22.17
855,0,,-22.17
856,0,,-22.17
857,0,,-22.17
858,0,,-22.17
859,0,,-22.17
860,0,,-22.17
861,0,,-22.17
862,0,,-22.17
863,0,,-22.17
864,0,,-22.17
865,0,,-22.17
866,0,,-22.17
867,0,,-22.17
868,0,,-22.17
869,0,,-22.17
870,0,,-22.17
871,0,,-22.17
872,1,9.65,150.115
873,0,,-22.17
874,0,,-22.17
875,0,,-22.17
876,0,,-22.17
877,0,,-22.17
878,0,,-22.17
879,0,,-22.17
880,0,,-22.17
881,0,,-22.17
882,0,,-22.17
883,0,,-22.17
884,0,,-22.17
885,0,,-22.17
886,0,,-22.17
887,0,,-22.17
888,0,,-22.17
889,0,,-22.17
890,0,,-22.17
891,0,,-22.17
892,0,,-22.17
893,0,,-22.17
894,0,,-22.17
895,1,5009.69,195.828
896,0,,-22.17
897,1,455.76,256.179
898,0,,-22.17
899,0,,-22.17
900,0,,-22.17
901,1,2.46,101.068
902,0,,-22.17
903,0,,-22.17
904,0,,-22.17
905,0,,-22.17
906,0,,-22.17
907,1,3310.4,654.006
908,1,834.12,258.559
909,0,,-22.17
910,1,0.39,308.557
911,0,,-22.17
912,0,,-22.17
913,0,,-22.17
914,0,,-22.17
915,0,,-22.17
916,1,212.74,92.037
917,0,,-22.17
918,0,,-22.17
919,0,,-22.17
920,0,,-22.17
921,0,,-22.17
922,0,,-22.17
923,1,0.67,254.444
924,0,,-22.17
925,0,,-22.17
926,0,,-22.17
927,1,89.21,48.449
928,0,,-22.17
929,0,,-22.17
930,0,,-22.17
931,0,,-22.17
932,1,7544.34,184.179
933,0,,-22.17
934,0,,-22.17
935,0,,-22.17
936,1,1445.24,242.962
937,0,,-22.17
938,0,,-22.17
939,1,0.07,236.186
940,0,,-22.17
941,0,,-22.17
942,0,,-22.17
943,0,,-22.17
944,0,,-22.17
945,0,,-22.17
946,0,,-22.17
947,0,,-22.17
948,1,0.38,75.233
949,0,,-22.17
950,0,,-22.17
951,0,,-22.17
952,0,,-22.17
953,0,,-22.17
954,1,0.07,220.483
955,0,,-22.17
956,0,,-22.17
957,0,,-22.17
958,0,,-22.17
959,0,,-22.17
960,1,0.06,933.558
961,0,,-22.17
962,0,,-22.17
963,0,,-22.17
964,1,8356.94,101.341
965,0,,-22.17
966,0,,-22.17
967,0,,-22.17
968,0,,-22.17
969,0,,-22.17
970,0,,-22.17
971,0,,-22.17
972,0,,-22.17
973,0,,-22.17
974,0,,-22.17
975,0,,-22.17
976,0,,-22.17
977,1,149.52,86.951
978,0,,-22.17
979,0,,-22.17
980,0,,-22.17
981,1,48.53,187.946
982,0,,-22.17
983,0,,-22.17
984,0,,-22.17
985,0,,-22.17
986,0,,-22.17
987,0,,-22.17
988,0,,-22.17
989,0,,-22.17
990,0,,-22.17
991,0,,-22.17
992,0,,-22.17
993,0,,-22.17
994,0,,-22.17
995,0,,-22.17
996,0,,-22.17
997,0,,-22.17
998,0,,-22.17
999,0,,-22.17
1000,0,,-22.17
