Customer;Age;Gender;Own Home;Married;Close;Salary;Children;Previous Customer;Previous Spent;Catalogs;Amount Spent;Log(Amount Spent)
56;55;0;1;0;0;22;0;1;660;12;736;6.601230119
57;60;1;1;0;1;57.6;1;0;0;6;1.006;0.005982072
58;34;1;1;0;1;65.3;0;1;1.306;18;1.443;0.36672428
59;75;0;1;1;1;63.3;2;1;633;24;679;6.520621128
60;43;0;0;1;1;38.2;0;1;764;6;526;6.265301213
61;75;0;0;0;1;11;2;0;0;18;393;5.973809612
62;24;0;1;0;0;24;1;1;600;6;357;5.877735782
63;74;0;1;0;1;47.6;1;1;714;12;801;6.685860947
64;36;1;1;1;1;87;0;1;1.74;24;1.594;0.46624658
65;52;1;0;1;1;117.7;1;1;1.766;12;2.104;0.743840295
66;53;0;0;1;0;30.1;0;1;903;12;530;6.272877007
67;30;0;1;0;1;12.8;0;0;0;12;230;5.438079309
68;68;1;1;0;1;63.2;0;1;1.264;24;1.932;0.658555736
69;37;1;0;1;0;41.6;0;1;1.248;24;1.69;0.524728529
70;27;1;1;1;0;75.5;0;0;0;18;2.45;0.896088025
71;44;0;1;1;1;74.9;0;1;1.498;12;1.474;0.387979794
72;58;1;0;1;0;72.2;3;1;1.083;18;1.811;0.593879179
73;50;0;0;1;1;36.5;1;0;0;18;747;6.616065185
74;28;0;0;1;1;73;1;1;1.095;6;490;6.194405391
75;41;0;0;0;0;15.1;0;1;453;6;348;5.85220248
76;59;0;0;0;0;19.8;1;1;495;24;991;6.898714534
77;21;1;1;0;1;64;3;1;320;12;410;6.01615716
78;53;0;0;1;1;79.4;0;0;0;6;1.175;0.161268148
79;30;0;1;1;1;82;0;1;1.64;18;1.8;0.587786665
80;55;0;0;1;1;63.5;1;1;953;18;1.023;0.022739487
81;40;0;1;1;1;118;3;1;590;12;581;6.364750757
82;74;0;0;0;1;13.3;1;0;0;6;236;5.463831805
83;24;1;0;0;0;45.1;1;1;1.128;12;794;6.677083461
84;56;1;1;1;1;45.9;0;1;918;24;1.645;0.497740384
85;70;0;1;0;1;43.9;2;1;439;6;358;5.880532986
86;40;0;1;1;0;110;0;1;3.3;24;5.564;1.716317274
87;69;1;0;0;1;63;0;1;1.26;24;1.91;0.647103242
88;47;1;0;0;1;61.8;0;1;1.236;24;1.156;0.14496577
89;55;0;0;1;1;53.3;0;1;1.066;24;1.598;0.468752847
90;37;0;0;1;1;42;3;1;210;6;105;4.65396035
91;29;0;1;0;1;25.9;2;0;0;12;449;6.107022888
92;29;1;0;1;0;20.2;1;1;505;24;500;6.214608098
93;23;0;0;0;1;46.6;0;0;0;12;546;6.302618976
94;37;1;0;0;1;18.7;0;1;374;12;289;5.666426688
95;29;1;1;0;1;45.7;0;1;914;18;724;6.584791392
96;69;0;1;0;1;32.6;3;1;163;12;172;5.147494477
97;27;1;1;1;1;96.1;0;1;1.922;6;1.588;0.462475363
98;51;0;0;0;0;14.4;1;1;360;6;390;5.966146739
99;25;1;0;0;1;54.2;0;0;0;18;1.405;0.340037303
100;35;0;1;1;0;80.6;0;1;2.418;24;2.84;1.043804052
101;46;0;1;1;1;48.9;3;0;0;18;915;6.818924065
102;51;0;1;0;1;30.3;0;1;606;18;1.062;0.060153923
103;57;1;1;1;1;124.9;0;1;2.498;18;4.109;1.41317969
104;74;0;0;0;1;13.7;1;0;0;6;163;5.093750201
105;23;1;0;1;0;60.3;1;0;0;6;1.252;0.224742273
106;27;1;0;0;1;43.1;1;0;0;12;1.224;0.202124184
107;47;0;1;1;0;128.7;0;1;3.861;24;3.995;1.385043579
108;74;0;0;1;1;118.3;1;0;0;18;2.681;0.986189859
109;35;1;0;1;1;36.5;0;1;730;24;1.14;0.131028262
110;27;1;0;0;1;13.4;0;1;268;18;424;6.049733455
111;31;1;1;1;1;101.7;1;0;0;6;941;6.84694314
112;43;1;1;0;1;76.8;1;1;1.152;18;1.061;0.05921186
113;37;1;0;0;1;21.9;0;1;438;12;276;5.620400866
114;24;0;0;0;0;16.1;0;0;0;6;202;5.308267697
115;25;0;1;0;0;64.1;2;1;1.282;24;1.595;0.466873736
116;39;0;0;1;1;95.9;0;0;0;24;3.168;1.153100474
117;53;0;1;0;1;58.2;0;1;1.164;18;981;6.88857246
118;63;1;1;1;0;120;3;1;1.8;18;1.926;0.655445313
119;33;1;1;0;1;68.4;0;1;1.368;18;1.155;0.144100344
120;52;1;1;1;1;83.6;2;1;836;6;538;6.28785856
121;42;0;0;0;1;13.4;1;1;201;12;143;4.96284463
122;25;0;1;1;1;54.7;0;1;1.094;24;1.404;0.339325306
123;64;1;1;1;0;41.3;0;1;1.239;24;1.985;0.685618914
124;59;0;1;1;1;130.7;3;0;0;6;2.07;0.727548607
125;55;0;0;1;1;39.5;0;1;790;12;1.006;0.005982072
126;71;0;1;1;1;93.4;2;0;0;24;3.079;1.124604869
127;56;1;1;1;1;83.1;2;1;831;6;586;6.37331979
128;44;1;1;0;1;55.9;1;0;0;24;2.555;0.938052224
129;46;1;1;1;1;71.2;1;1;1.068;12;638;6.458338283
130;66;1;0;0;1;57.8;0;1;1.156;24;1.149;0.138891999
131;42;1;0;0;1;59.1;2;1;591;18;580;6.363028104
132;46;0;0;0;0;23.1;2;1;462;6;466;6.144185634
133;24;1;0;0;0;10.9;0;1;327;24;407;6.008813185
134;23;0;1;0;0;47.5;0;1;1.425;6;847;6.741700695
135;40;1;0;1;1;76.2;1;0;0;24;2.437;0.890767775
136;55;1;0;0;1;14.2;1;0;0;24;400;5.991464547
137;30;0;0;1;0;52.5;0;1;1.575;24;2.038;0.711968935
138;61;0;0;1;0;43.3;3;1;650;24;716;6.573680167
139;40;1;1;0;1;66.6;0;1;1.332;18;1.177;0.162968828
140;55;1;0;0;1;55.1;2;0;0;6;826;6.716594774
141;48;0;0;0;1;10.6;2;1;106;12;114;4.736198448
142;23;1;0;0;1;56.3;0;1;1.126;6;873;6.771935556
143;64;1;1;1;1;58.9;0;0;0;18;1.215;0.194744077
144;29;0;1;1;1;102.5;3;1;513;12;548;6.306275287
145;35;1;1;0;0;71.5;0;0;0;6;964;6.871091295
146;32;1;1;1;1;73.3;0;0;0;12;1.694;0.527092596
147;67;1;1;1;1;69.9;1;0;0;18;2.101;0.742413422
148;47;0;0;0;1;12.1;1;1;182;6;90;4.49980967
149;26;0;0;0;1;23;3;1;115;6;79;4.369447852
150;25;1;0;0;1;39.5;1;0;0;6;412;6.021023349
151;54;1;1;1;1;55.5;0;1;1.11;18;858;6.754604099
152;58;1;0;0;1;45.6;0;1;912;18;1.388;0.327863862
153;34;1;0;0;0;19.5;0;0;0;24;571;6.34738921
154;26;1;1;1;1;70.4;2;0;0;12;1.127;0.119559235
155;49;0;0;0;1;10.2;3;0;0;6;199;5.293304825
156;26;1;1;1;1;83.7;0;1;1.674;24;3.344;1.207167695
157;32;0;1;1;1;72.6;1;0;0;18;1.999;0.692647056
158;51;1;0;0;0;40.5;1;0;0;18;1.073;0.070458464
159;42;1;1;1;1;63.3;2;0;0;6;633;6.450470422
160;44;1;0;0;1;14.8;3;0;0;12;436;6.077642243
161;24;0;0;1;1;84.8;0;1;1.696;18;2.624;0.964699871
162;67;0;1;1;1;85.5;2;1;855;18;895;6.796823718
163;43;1;0;1;0;84.1;1;1;2.103;24;2.362;0.859508718
164;36;0;0;0;1;26.6;2;1;266;24;245;5.501258211
165;30;0;0;0;1;42.5;0;1;850;24;918;6.822197391
166;76;1;0;0;0;15.3;0;1;459;24;645;6.469250317
167;22;1;1;1;1;67.6;1;1;1.014;18;1.172;0.158711691
168;51;1;0;0;1;15.2;0;0;0;12;324;5.780743516
169;26;0;1;0;0;56;3;1;840;6;530;6.272877007
170;44;0;1;1;1;84.8;1;0;0;12;1.826;0.602127782
171;53;0;0;0;1;10.6;2;0;0;24;517;6.248042875
172;22;0;0;1;0;88.4;0;1;2.652;18;3.632;1.289783461
173;70;1;1;1;1;87.2;0;1;1.744;18;1.274;0.242161557
174;53;1;0;1;1;106.7;2;1;1.067;6;607;6.408528791
175;33;1;0;0;1;27.1;1;1;407;12;268;5.590986981
176;27;0;1;0;1;46.6;2;0;0;18;1.153;0.142367241
177;42;0;1;0;1;49.1;2;1;491;6;474;6.161207322
178;54;0;1;0;1;35.2;0;1;704;12;607;6.408528791
179;33;0;1;0;1;35.2;0;0;0;12;827;6.717804695
180;61;0;1;1;0;84.1;0;1;2.523;18;2.71;0.996948635
181;72;1;0;0;1;25.8;0;0;0;6;451;6.11146734
182;28;0;1;1;1;49.7;2;1;497;18;613;6.418364936
183;52;0;0;0;1;13.2;1;1;198;12;227;5.424950017
184;23;0;0;0;1;14.6;3;1;73;6;47;3.850147602
185;23;1;1;1;1;109.9;2;1;1.099;12;870;6.768493212
186;56;0;1;1;1;126.3;1;1;1.895;6;1.888;0.635518068
187;41;1;1;1;0;100.6;3;1;1.509;24;2.838;1.043099579
188;47;0;0;0;0;11.7;0;1;351;18;540;6.29156914
189;71;0;0;0;1;36.4;2;1;364;18;506;6.226536669
190;42;0;0;0;1;22.2;2;1;222;18;275;5.616771098
191;24;1;1;1;1;106.4;0;0;0;12;1.757;0.563607809
192;48;0;1;1;1;112.8;0;1;2.256;12;1.861;0.621113978
193;73;1;1;1;1;95.9;0;1;1.918;24;2.585;0.949725508
194;64;1;0;1;1;88;2;1;880;6;524;6.261491684
195;48;1;0;0;1;44.5;0;1;890;24;1.175;0.161268148
196;42;0;1;1;1;43.6;0;1;872;12;1.047;0.045928932
197;68;1;0;0;0;20.8;0;0;0;6;260;5.560681631
198;25;1;1;1;1;23.4;0;1;468;6;348;5.85220248
199;72;0;0;0;1;46.6;0;1;932;24;906;6.809039306
200;55;0;0;0;1;31.3;1;1;470;6;357;5.877735782
201;26;0;0;1;0;33.2;1;0;0;24;1.639;0.4940863
202;22;0;1;1;0;70.4;0;1;2.112;18;2.61;0.959350221
203;60;1;0;0;1;17;0;0;0;18;581;6.364750757
204;25;0;0;0;1;26.2;1;1;393;12;381;5.942799375
205;47;1;1;1;1;108.9;0;1;2.178;12;1.841;0.610308902
206;73;0;1;0;1;17.3;0;1;346;6;166;5.111987788
207;58;1;0;0;0;51.9;0;1;1.557;18;1.492;0.400117502
208;40;0;0;0;1;33.6;0;1;672;12;573;6.350885717
209;63;0;0;1;1;61;1;0;0;18;1.611;0.476855104
210;26;0;1;1;1;41.6;0;0;0;18;982;6.889591308
211;65;0;0;1;1;54.2;1;1;813;6;486;6.186208624
212;30;1;0;1;0;66.2;0;1;1.986;24;2.057;0.721248611
213;60;0;1;0;1;72.2;0;0;0;18;3.278;1.18723348
214;38;0;0;0;1;39.7;3;1;199;12;238;5.472270674
215;43;1;0;1;1;36.9;0;1;738;18;721;6.580639137
216;25;1;1;1;1;96.1;3;1;481;12;316;5.755742214
217;39;0;0;0;1;11.7;0;1;234;12;193;5.262690189
218;31;1;0;0;1;31.6;1;0;0;12;476;6.165417854
219;30;0;1;1;1;82.8;0;1;1.656;24;3.01;1.101940079
220;58;0;0;1;1;40.9;1;1;614;18;962;6.869014451
221;23;1;0;1;1;65.8;2;1;658;18;578;6.359573869
222;50;1;0;1;1;39.7;0;1;794;18;1.011;0.01093994
223;22;0;1;1;0;79.3;0;0;0;12;2.047;0.716375307
224;58;0;0;1;1;40.5;2;1;405;18;622;6.432940093
225;54;0;1;1;1;64.1;1;1;962;18;1.332;0.286681572
226;36;0;0;0;1;42;3;1;210;18;232;5.446737372
227;45;0;1;0;1;32.5;0;1;650;24;883;6.783325201
228;66;0;0;1;1;68.6;0;1;1.372;18;1.342;0.294161039
229;71;1;0;0;1;60.4;1;1;906;6;791;6.673297968
230;54;1;1;1;0;130.6;0;1;3.918;18;3.442;1.236052698
231;47;1;1;1;1;73.1;0;1;1.462;6;1.582;0.458689869
232;69;0;1;0;1;23.8;0;1;476;6;438;6.08221891
233;65;1;1;0;1;52.9;1;0;0;24;2.316;0.83984156
234;43;1;0;1;1;53.6;1;1;804;24;973;6.880384082
235;24;1;0;0;1;55.6;0;1;1.112;6;984;6.891625897
236;44;1;1;1;0;52;0;1;1.56;18;2.545;0.93413065
237;62;0;0;1;1;79.5;0;1;1.59;12;1.651;0.501381165
238;42;1;0;1;0;64.6;2;0;0;24;2.935;1.076707453
239;51;0;0;0;1;14.3;1;0;0;18;458;6.126869184
240;27;1;1;1;1;100;1;1;1.5;24;2.247;0.809595993
241;45;1;1;0;0;48.1;2;1;962;18;961;6.867974409
242;53;1;1;1;1;107.3;2;1;1.073;24;1.194;0.177309015
243;32;1;1;1;1;85.6;0;1;1.712;24;3.38;1.217875709
244;38;1;1;0;1;62.7;2;1;627;12;704;6.556778356
245;35;1;1;0;0;55.6;0;1;1.668;18;1.786;0.579978482
246;56;1;0;0;1;54.7;0;1;1.094;24;1.355;0.303801454
247;38;0;0;0;1;46.5;1;1;698;24;829;6.720220155
248;36;0;1;0;1;35.9;0;0;0;12;962;6.869014451
249;67;1;0;1;1;106.1;3;1;531;12;472;6.156978986
250;50;1;1;0;1;49.2;3;1;246;12;210;5.347107531
251;27;0;0;0;0;10.8;3;1;23;6;123;4.812184355
252;43;1;0;0;1;45.2;1;1;633;18;699;6.549650742
253;61;0;0;0;0;20.4;0;0;0;24;513;6.240275845
254;47;1;1;1;0;95.8;3;0;0;12;2.581;0.948176921
255;43;1;1;1;1;111.4;0;1;2.019;12;2.136;0.758934921
256;62;0;1;1;1;49.2;0;1;1.064;12;1.078;0.075107472
257;45;1;0;1;0;48.8;2;0;0;12;1.647;0.498955451
258;28;0;0;0;1;14;0;1;353;12;229;5.433722004
259;42;1;1;0;1;82.8;0;0;0;6;1.544;0.434376452
260;25;0;0;0;0;12.9;1;1;602;6;167;5.117993812
261;35;0;1;1;1;44.1;1;1;884;24;704;6.556778356
262;54;0;0;1;0;72.9;0;1;1.962;18;2.075;0.729961154
263;65;1;1;0;1;59.3;0;1;1.416;12;929;6.834108739
264;53;1;1;0;1;59.7;1;0;0;18;1.422;0.352064331
265;58;1;1;0;1;40.2;2;0;0;18;1.197;0.179818427
266;47;1;1;0;1;62.8;3;0;0;6;707;6.561030666
267;61;0;0;0;0;22.6;0;0;0;12;865;6.762729507
268;46;0;1;0;1;54.4;3;1;340;18;342;5.834810737
269;24;0;1;0;1;33.4;1;0;0;6;617;6.424869024
270;25;1;0;1;0;63.3;3;0;0;6;1.408;0.342170258
271;54;1;0;1;1;87.4;2;0;0;18;2.729;1.003935242
272;48;0;1;0;1;27;2;1;94;6;183;5.209486153
273;47;1;1;0;1;65.3;3;1;619;6;193;5.262690189
274;44;0;0;1;1;104.9;3;1;975;6;450;6.109247583
275;73;0;0;0;1;20.1;0;1;501;24;576;6.356107661
276;29;0;0;0;1;14.6;1;1;166;6;143;4.96284463
277;37;1;1;0;1;48.1;0;1;1.057;18;1.64;0.494696242
278;48;0;1;1;1;107.6;2;1;1.773;12;1.512;0.413433278
279;35;0;0;0;1;58.6;1;1;801;6;624;6.436150368
280;23;1;0;1;1;80.7;3;1;438;6;202;5.308267697
281;36;1;0;0;0;40.2;0;1;1.533;18;1.634;0.491030996
282;25;1;0;0;1;25;0;1;726;6;264;5.575949103
283;43;0;1;0;1;46.6;3;1;14;6;158;5.062595033
284;28;1;0;0;0;21.9;2;0;0;6;192;5.257495372
285;22;1;0;0;0;13.9;0;0;0;24;570;6.345636361
286;36;0;0;0;1;25.7;2;1;318;6;173;5.153291594
287;63;0;0;1;0;72.2;0;1;2.326;24;3.069;1.121351776
288;26;0;0;1;1;76.4;0;0;0;12;2.216;0.795703769
289;25;0;1;0;1;20.3;1;1;131;12;304;5.717027701
290;21;0;0;0;1;11.4;2;0;0;6;186;5.225746674
291;24;0;0;0;1;17;0;1;374;18;659;6.490723535
292;70;1;0;1;1;60;0;1;1.163;6;966;6.873163834
293;57;1;1;1;1;107.4;0;1;1.877;12;1.485;0.395414772
294;65;0;1;0;1;37.3;0;1;720;6;673;6.51174533
295;39;1;1;0;1;68.9;2;0;0;18;2.784;1.023888742
296;34;1;1;1;1;83;2;1;1.153;6;726;6.587550015
297;50;1;1;1;1;97.4;1;1;1.442;6;880;6.779921907
298;54;0;0;1;0;92.4;1;0;0;6;2.191;0.784358061
299;54;0;0;0;0;44.8;1;1;1.251;6;666;6.501289671
300;74;0;0;1;1;50.5;0;1;1.013;12;642;6.464588304
301;31;1;1;1;0;65.4;3;0;0;6;836;6.728628613
302;49;0;1;1;0;83.1;1;0;0;12;2.766;1.017402233
303;45;1;1;1;1;117.5;2;1;1.796;12;927;6.831953566
304;49;0;0;0;1;43.3;3;1;117;24;326;5.786897381
305;38;1;1;1;0;103.9;1;1;2.576;24;2.666;0.980579222
306;26;0;0;1;1;41.7;1;0;0;6;521;6.255750042
307;66;1;1;0;1;44.8;0;1;904;24;1.417;0.348541961
308;52;1;1;0;0;45;1;0;0;18;902;6.80461452
309;54;0;0;0;1;43.7;0;1;1.069;12;950;6.856461985
310;75;0;0;1;1;23.6;1;1;258;6;161;5.081404365
311;29;1;0;0;0;20.4;0;1;886;18;867;6.765038977
312;62;1;1;1;1;123;0;1;2.428;24;3.671;1.300464105
313;45;0;0;0;1;44.6;0;1;1.165;18;966;6.873163834
314;25;1;0;1;1;55.5;3;1;123;12;216;5.375278408
315;34;0;1;0;0;56.2;0;1;1.715;18;1.546;0.43567095
316;50;1;1;1;1;96.3;2;0;0;18;3.916;1.365070725
317;72;1;0;0;1;32.4;1;1;169;12;515;6.244166901
318;36;1;1;0;1;60.2;0;1;1.335;12;1.365;0.311154429
319;71;0;1;1;1;72.9;0;1;1.828;6;753;6.624065228
320;29;0;0;0;1;19.3;1;1;57;24;308;5.730099783
321;58;1;1;1;1;74.8;0;1;1.573;18;1.968;0.677017799
322;24;1;0;1;1;34.3;3;0;0;12;1.297;0.260053905
323;49;1;1;0;0;75.4;0;1;2.121;24;2.723;1.001734214
324;21;0;0;0;0;11.4;3;0;0;12;312;5.743003188
325;28;1;1;1;1;30.4;0;1;606;6;495;6.204557763
326;43;1;0;0;1;41.2;0;1;951;12;841;6.73459166
327;21;1;0;0;1;21.4;0;0;0;12;414;6.025865974
328;25;0;0;1;1;60.6;3;1;275;12;307;5.726847748
329;41;1;1;1;1;105.3;1;0;0;18;3.505;1.25419052
330;55;1;1;0;1;63.7;0;0;0;6;1.351;0.300845059
331;27;1;0;0;1;15.8;2;1;115;12;147;4.990432587
332;54;1;0;0;0;56.9;0;1;1.327;24;1.857;0.618962282
333;27;0;0;0;1;15.9;0;1;568;18;503;6.22059017
334;71;0;1;1;0;37.5;0;1;1.784;18;1.578;0.456158222
335;37;1;0;0;0;42.5;1;0;0;6;798;6.682108597
336;49;1;1;1;1;97.5;0;1;1.295;18;2.837;1.042747156
337;30;1;1;0;1;29.6;3;0;0;12;583;6.368187186
338;52;1;1;0;1;55.6;0;0;0;12;952;6.858565035
339;36;1;0;1;1;74.6;2;1;846;18;705;6.558197803
340;34;0;1;1;1;68.5;2;0;0;12;1.5;0.405465108
341;45;0;1;0;1;51.9;2;0;0;12;1.162;0.150142658
342;21;0;0;0;1;17.2;1;0;0;12;329;5.796057751
343;25;0;0;1;0;51.9;0;0;0;6;780;6.65929392
344;39;1;1;1;1;70.2;0;0;0;6;1.583;0.459321781
345;37;1;1;0;1;61.5;2;1;794;24;968;6.875232087
346;42;0;1;1;1;70.9;1;1;898;12;794;6.677083461
347;51;1;1;1;0;72.5;0;0;0;24;2.595;0.953586517
348;57;0;1;0;1;33.2;0;1;1.029;24;1.037;0.036331929
349;43;1;0;0;0;58.6;2;0;0;6;989;6.896694332
350;37;1;1;1;1;54.7;0;1;1.022;18;848;6.742880636
351;42;1;0;1;0;64;1;0;0;6;1.552;0.439544422
352;30;0;0;0;0;12.5;1;0;0;12;422;6.045005314
353;51;1;1;1;1;122.7;1;0;0;18;4.984;1.606232781
354;24;1;0;0;1;23.2;1;1;306;24;504;6.222576268
355;25;1;0;1;1;41.6;3;0;0;24;1.634;0.491030996
356;56;0;1;1;1;69.4;0;1;1.624;18;2.419;0.883354232
357;41;0;1;1;1;109.8;1;1;1.88;24;2.258;0.814479466
358;44;0;1;0;0;66.8;3;0;0;24;2.098;0.74098451
359;47;1;0;1;0;87.1;2;1;1.609;18;1.688;0.523544396
360;42;1;1;0;0;80.8;2;1;1.201;18;2.444;0.893636041
361;33;1;1;1;0;122.1;0;1;2.963;12;2.408;0.878796527
362;23;0;0;0;1;19.4;1;0;0;18;384;5.950642553
363;37;0;1;0;1;43.3;1;0;0;18;1.021;0.020782539
364;60;1;1;1;0;33;0;1;1.345;12;979;6.886531643
365;62;1;0;1;0;66.3;0;0;0;18;2.243;0.807814256
366;50;1;1;1;1;96.3;1;1;1.603;24;1.909;0.646579545
367;53;1;0;0;0;55.8;1;0;0;6;821;6.710523109
368;32;1;0;1;1;63.5;2;0;0;24;2.321;0.841998127
369;46;1;1;1;0;82.4;2;1;1.352;24;2.035;0.710495819
370;29;0;0;0;1;14.2;0;0;0;6;192;5.257495372
371;29;1;0;1;1;41.5;0;0;0;24;1.213;0.19309663
372;35;1;1;1;1;82.5;0;1;1.673;6;859;6.755768922
373;37;1;1;1;1;85.6;1;1;935;18;2.436;0.89035735
374;23;0;0;0;0;18.4;1;1;930;6;319;5.765191103
375;58;0;1;1;1;62.6;0;1;1.395;6;565;6.336825731
376;27;0;0;0;0;13.8;3;1;330;6;127;4.844187086
377;53;1;1;0;1;60.3;0;1;928;24;1.263;0.233489843
378;28;1;1;0;1;31.5;3;1;105;18;269;5.59471138
379;65;0;1;1;1;111.5;0;1;2.41;18;2.51;0.920282753
380;33;1;1;0;1;67.9;0;1;1.347;18;1.418;0.349247428
381;22;1;0;0;1;29.2;0;1;461;18;737;6.602587892
382;67;1;1;1;1;84.5;0;0;0;12;1.557;0.442760893
383;33;1;1;1;1;84.7;3;0;0;24;2.705;0.995101912
384;22;1;0;1;0;67.3;3;0;0;6;1.212;0.192271888
385;42;1;0;0;0;51.1;0;1;1.767;24;1.984;0.685115009
386;24;1;0;0;1;23.5;0;1;461;12;371;5.916202063
387;21;1;0;0;1;21.3;1;0;0;12;329;5.796057751
388;38;1;1;1;1;90.1;0;1;1.755;18;1.956;0.670901572
389;51;1;1;1;0;84.3;2;1;1.607;18;1.648;0.499562431
390;29;0;0;0;0;13.2;0;0;0;18;512;6.238324625
391;24;0;0;0;1;22.1;2;1;168;18;280;5.634789603
392;43;1;1;1;1;53.7;1;0;0;12;1.081;0.077886539
393;49;1;0;0;0;38.7;1;1;1.129;18;1.009;0.008959741
394;38;0;1;0;1;35.2;2;1;57;6;233;5.451038454
395;47;1;1;1;0;113.3;1;1;1.93;18;5.151;1.639190871
396;37;1;0;1;1;105.6;3;1;1.046;6;304;5.717027701
397;70;0;1;1;1;74.7;0;1;1.782;12;1.699;0.530039843
398;32;0;1;0;1;60.2;1;0;0;12;1.748;0.558472277
399;26;0;0;0;1;12;0;1;313;24;344;5.840641657
400;21;0;0;0;1;16.7;2;1;85;12;108;4.682131227
401;38;0;1;0;1;46.1;2;1;408;12;418;6.035481433
402;35;1;1;1;0;103.7;1;1;2.324;24;2.339;0.849723488
403;44;1;0;0;1;63.8;1;1;1.311;24;1.622;0.483659956
404;35;0;1;1;1;65.4;2;1;632;24;938;6.843749949
405;46;1;1;0;1;49.9;1;0;0;24;1.631;0.489193324
406;39;1;1;1;1;64.3;2;1;655;6;661;6.49375384
407;44;1;1;0;0;59.6;2;1;1.239;18;1.217;0.196388814
408;47;0;1;0;1;45.1;1;1;741;12;448;6.104793232
409;45;0;0;0;1;39.9;1;1;380;12;586;6.37331979
410;28;1;1;0;1;33.4;0;0;0;12;567;6.340359304
411;34;1;1;1;1;99.6;1;1;1.882;6;871;6.769641977
412;41;1;1;0;1;58.4;0;1;1.004;12;829;6.720220155
413;44;1;0;0;1;35.1;1;1;466;6;421;6.042632834
414;67;1;1;0;1;53.4;1;1;747;12;886;6.786716951
415;50;1;1;0;1;61.6;0;0;0;18;1.666;0.510425544
