communityname,ViolentCR,householdsize,agePct12t21,PctUrban,medIncome,pctWSocSec,pctWPubAsst,pctWRetire,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,MalePctNevMarr,TotalPctDiv,PersPerFam,PctFam2Par,PctWorkMom,PctRecentImmig,PctHousOccup,PctHousOwnOcc,RentMedian,PctForeignBorn,PctBornSameState,PopDens,PctUsePubTrans
Claremontcity,1.240936085,0.35,0.39,0,0.23,0.6,0.38,0.6,0.34,0.41,0.57,0.17,0.47,0.32,0.56,0.4,0.57,0.65,0.05,0.59,0.49,0.31,0.1,0.6,0.03,0.02
Kokomocity,2.092556235,0.31,0.4,1,0.24,0.52,0.38,0.7,0.43,0.32,0.45,0.19,0.54,0.32,0.78,0.39,0.44,0.48,0.01,0.67,0.55,0.19,0.04,0.78,0.26,0.01
Riversidecity,6.810699774,0.62,0.52,1,0.38,0.32,0.42,0.46,0.31,0.3,0.38,0.3,0.44,0.54,0.59,0.68,0.59,0.37,0.42,0.77,0.46,0.47,0.46,0.48,0.24,0.09
Pennsaukentownship,2.308942383,0.52,0.33,1,0.4,0.58,0.24,0.58,0.13,0.27,0.43,0.2,0.23,0.42,0.4,0.58,0.65,0.45,0.03,0.93,0.79,0.37,0.12,0.52,0.28,0.29
Medfordtownship,0.520835983,0.62,0.49,0.77,0.79,0.35,0.05,0.44,0.05,0.11,0.14,0.67,0.24,0.35,0.22,0.62,0.9,0.36,0.02,0.87,0.8,0.65,0.1,0.45,0.04,0.11
Franklincity,1.020704578,0.47,0.45,1,0.23,0.5,0.49,0.53,0.43,0.63,0.7,0.08,0.53,0.28,0.62,0.47,0.59,0.4,0.01,0.9,0.52,0.18,0.02,0.72,0.11,0.01
MineralWellscity,2.80375199,0.48,0.43,0,0.13,0.67,0.53,0.49,0.61,0.53,0.66,0.16,0.65,0.24,0.71,0.48,0.57,0.35,0.07,0.45,0.59,0.13,0.12,0.75,0.06,0.04
Concordcity,2.202219675,0.44,0.37,1,0.5,0.29,0.31,0.45,0.16,0.12,0.18,0.42,0.25,0.45,0.66,0.47,0.62,0.6,0.45,0.86,0.53,0.6,0.42,0.49,0.32,0.56
Centraliacity,2.251054866,0.34,0.4,0,0.17,0.68,0.53,0.5,0.43,0.32,0.46,0.15,0.44,0.31,0.8,0.4,0.46,0.34,0.01,0.76,0.47,0.19,0.09,0.59,0.17,0.05
Huntsvillecity,5.566001232,0.37,0.44,0.99,0.34,0.32,0.21,0.58,0.3,0.22,0.3,0.54,0.33,0.45,0.56,0.42,0.58,0.54,0.11,0.72,0.51,0.25,0.11,0.54,0.08,0
Manvilleborough,0.568488943,0.4,0.26,1,0.43,0.67,0.25,0.86,0.1,0.44,0.48,0.13,0.22,0.47,0.38,0.44,0.66,0.74,0.14,0.91,0.66,0.52,0.19,0.68,0.36,0.07
Hawthorneborough,0.311046249,0.36,0.24,1,0.52,0.63,0.06,0.53,0.08,0.36,0.39,0.35,0.2,0.39,0.29,0.42,0.81,0.29,0.13,0.9,0.59,0.66,0.32,0.74,0.42,0.21
Stauntoncity,0.760498091,0.41,0.38,0,0.23,0.61,0.35,0.63,0.3,0.47,0.49,0.27,0.18,0.38,0.63,0.31,0.55,0.68,0.06,0.78,0.53,0.2,0.04,0.74,0.1,0.01
LaGrandecity,0.723549334,0.38,0.61,0,0.16,0.47,0.37,0.36,0.5,0.22,0.32,0.3,0.47,0.45,0.54,0.42,0.57,0.57,0.13,0.79,0.43,0.15,0.06,0.53,0.24,0
CasaGrandecity,5.74444367,0.59,0.48,0,0.24,0.44,0.49,0.34,0.46,0.51,0.48,0.21,0.51,0.35,0.63,0.67,0.52,0.5,0.06,0.48,0.55,0.25,0.14,0.42,0.07,0.04
Banningcity,3.769222775,0.5,0.35,0,0.18,0.83,0.91,0.82,0.44,0.45,0.65,0.14,0.74,0.31,0.59,0.53,0.45,0.18,0.45,0.58,0.59,0.33,0.41,0.42,0.09,0.02
ManhattanBeachcity,1.44182019,0.25,0.15,1,0.92,0.21,0.09,0.33,0.09,0.02,0.04,0.93,0.08,0.63,0.56,0.28,0.8,0.53,0.18,0.83,0.55,1,0.24,0.44,0.68,0.05
Gastoniacity,6.160941488,0.42,0.43,1,0.24,0.55,0.44,0.45,0.37,0.59,0.66,0.24,0.31,0.38,0.65,0.44,0.42,0.58,0.02,0.8,0.49,0.18,0.03,0.77,0.15,0.05
Mahwahtownship,0.320311918,0.43,0.4,0.93,0.74,0.21,0.09,0.31,0.08,0.15,0.15,0.71,0.21,0.52,0.31,0.4,0.81,0.24,0.21,0.76,0.79,0.94,0.33,0.44,0.06,0.31
PerthAmboycity,5.04063898,0.59,0.45,1,0.28,0.55,0.5,0.45,0.4,1,0.89,0.11,0.75,0.61,0.55,0.72,0.42,0.58,0.69,0.8,0.27,0.44,0.75,0.44,0.73,0.28
Oneidacity,0.524233889,0.39,0.39,0,0.22,0.61,0.34,0.57,0.25,0.24,0.4,0.24,0.23,0.4,0.53,0.49,0.59,0.56,0.02,0.83,0.5,0.24,0.05,0.92,0.04,0.06
Chesterfieldcity,0.496208059,0.57,0.46,1,0.91,0.28,0.03,0.37,0.04,0.1,0.09,0.88,0.07,0.31,0.18,0.57,0.95,0.25,0.18,0.75,0.77,0.58,0.17,0.49,0.11,0.02
Petalumacity,2.103263695,0.46,0.35,0,0.48,0.4,0.22,0.54,0.1,0.15,0.22,0.39,0.2,0.38,0.59,0.49,0.69,0.6,0.19,0.91,0.61,0.63,0.26,0.61,0.29,0.24
CedarFallscity,0.522406034,0.58,0.95,1,0.27,0.43,0.19,0.53,0.44,0.14,0.18,0.51,0.29,0.7,0.22,0.39,0.69,0.56,0.11,0.9,0.56,0.19,0.07,0.81,0.1,0.02
Guilfordtown,0.231059521,0.49,0.37,0.09,0.73,0.32,0.06,0.36,0.06,0.07,0.12,0.71,0.18,0.32,0.35,0.49,0.86,0.58,0.13,0.7,0.84,0.63,0.12,0.64,0.03,0.06
Meridentown,1.404477677,0.39,0.33,1,0.41,0.52,0.3,0.57,0.18,0.37,0.47,0.24,0.3,0.46,0.53,0.44,0.56,0.63,0.09,0.75,0.52,0.4,0.18,0.68,0.21,0.04
Yarmouthtown,1.853849412,0.21,0.21,0.99,0.26,0.92,0.33,1,0.24,0.08,0.22,0.35,0.51,0.29,0.43,0.19,0.44,0.54,0.12,0,0.69,0.58,0.15,0.7,0.07,0.05
DelCitycity,1.236756561,0.41,0.46,1,0.23,0.44,0.27,0.8,0.39,0.18,0.39,0.14,0.51,0.28,0.68,0.44,0.53,0.63,0.02,0.37,0.62,0.2,0.08,0.65,0.26,0.02
PortArthurcity,6.845429531,0.43,0.41,0.99,0.11,0.67,0.56,0.53,0.75,0.57,0.61,0.14,0.89,0.39,0.68,0.56,0.36,0.4,0.14,0.44,0.58,0.13,0.2,0.65,0.06,0.06
Pueblocity,7.037869896,0.4,0.42,1,0.15,0.58,0.61,0.75,0.57,0.42,0.46,0.21,0.62,0.39,0.69,0.45,0.42,0.38,0.05,0.76,0.58,0.16,0.06,0.7,0.23,0.06
Auroracity,7.50815008,0.35,0.37,1,0.36,0.19,0.17,0.41,0.19,0.08,0.14,0.42,0.26,0.4,0.76,0.45,0.56,0.72,0.13,0.55,0.5,0.33,0.16,0.29,0.14,0.23
Yonkerscity,3.05329632,0.42,0.33,1,0.41,0.58,0.44,0.54,0.28,0.38,0.45,0.34,0.4,0.54,0.39,0.52,0.47,0.24,0.41,0.84,0.29,0.44,0.6,0.68,0.87,1
Ogdencity,2.446942814,0.43,0.47,1,0.2,0.53,0.47,0.62,0.44,0.26,0.43,0.25,0.54,0.39,0.71,0.54,0.51,0.56,0.1,0.55,0.5,0.18,0.11,0.66,0.2,0.16
Vernoncity,22.50408046,0.42,0.44,0,0.15,0.76,0.28,0.38,0.52,0.69,0.69,0.18,0.33,0.36,0.5,0.45,0.65,0.78,0,0.37,0.61,0.11,0.05,0.82,0.12,0.02
Polandtownship,0.075771454,0.52,0.38,0.81,0.4,0.6,0.2,0.8,0.09,0.1,0.19,0.43,0.23,0.24,0.1,0.51,0.96,0.41,0.03,0.96,0.93,0.24,0.06,0.82,0.05,0
Vermillioncity,0.306731437,0.65,1,0,0.08,0.3,0.18,0.21,0.82,0.23,0.21,0.72,0.43,1,0.19,0.39,0.54,0.6,0.16,0.84,0.33,0.15,0.05,0.58,0.27,0
Carthagecity,0.637726216,0.36,0.34,0,0.14,0.73,0.27,0.44,0.31,0.45,0.53,0.18,0.32,0.3,0.53,0.38,0.66,0.53,0.06,0.64,0.67,0.11,0.05,0.68,0.14,0.01
LakeHavasuCitycity,0.898930591,0.34,0.24,0,0.28,0.82,0.16,0.98,0.2,0.17,0.35,0.2,0.15,0.13,0.47,0.2,0.7,0.62,0.04,0,0.7,0.34,0.13,0.02,0.05,0.02
SealBeachcity,1.093298934,0.04,0.13,1,0.35,1,0.16,1,0.11,0.14,0.22,0.51,0.12,0.35,0.5,0.14,0.76,0.51,0.18,0.72,0.73,0.81,0.29,0.33,0.18,0.06
Lebanoncity,2.79523474,0.37,0.39,0,0.15,0.67,0.49,0.63,0.49,0.32,0.48,0.13,0.71,0.28,0.65,0.4,0.52,0.51,0.02,0.82,0.49,0.19,0.07,0.49,0.19,0.01
Yucaipacity,1.516200242,0.34,0.32,1,0.26,0.83,0.43,0.77,0.19,0.27,0.45,0.18,0.3,0.2,0.52,0.4,0.67,0.36,0.08,0.74,0.74,0.4,0.21,0.47,0.1,0.01
KeyWestcity,6.311198638,0.3,0.22,0,0.27,0.32,0.24,0.39,0.27,0.32,0.34,0.33,0.12,0.59,0.8,0.38,0.66,0.78,0.2,0.37,0.27,0.53,0.27,0.28,0.38,0.09
Clintoncity,0.551048505,0.58,0.58,1,0.41,0.29,0.17,0.43,0.24,0.15,0.21,0.62,0.16,0.44,0.39,0.55,0.66,0.73,0.12,0.8,0.62,0.28,0.05,0.73,0.08,0.01
EastGreenwichtown,0.333341501,0.45,0.39,0.66,0.65,0.43,0.22,0.54,0.11,0.09,0.15,0.72,0.21,0.36,0.32,0.52,0.81,0.25,0.04,0.84,0.7,0.44,0.13,0.54,0.06,0.1
Gladstonecity,1.293085394,0.49,0.47,1,0.34,0.46,0.11,0.54,0.09,0.13,0.23,0.3,0.18,0.33,0.57,0.49,0.65,0.75,0.08,0.96,0.67,0.32,0.1,0.52,0.35,0.2
RohnertParkcity,4.064934776,0.47,0.48,1,0.4,0.29,0.29,0.38,0.22,0.12,0.19,0.34,0.31,0.51,0.65,0.51,0.62,0.61,0.26,0.88,0.46,0.62,0.25,0.59,0.47,0.16
Maldencity,3.730115029,0.34,0.28,1,0.37,0.54,0.31,0.49,0.19,0.24,0.37,0.31,0.49,0.63,0.39,0.48,0.58,0.5,0.44,0.79,0.29,0.55,0.4,0.77,0.89,1
Eurekacity,4.509969408,0.32,0.38,0,0.17,0.56,0.77,0.59,0.49,0.23,0.35,0.28,0.56,0.46,0.86,0.4,0.41,0.39,0.1,0.79,0.39,0.27,0.16,0.61,0.24,0.06
Amescity,0.446516457,0.63,1,0,0.21,0.19,0.13,0.23,0.64,0.07,0.05,0.89,0.23,1,0.12,0.33,0.79,0.6,0.84,0.92,0.3,0.29,0.27,0.59,0.2,0.45
Wolcotttown,0.947673458,0.6,0.41,0.63,0.61,0.46,0.17,0.58,0.03,0.21,0.36,0.24,0.35,0.36,0.24,0.58,0.87,0.68,0.01,0.83,0.9,0.43,0.16,0.83,0.06,0.02
Manchestercity,0.940290249,0.34,0.36,1,0.33,0.46,0.27,0.4,0.23,0.4,0.43,0.3,0.45,0.5,0.57,0.41,0.57,0.73,0.18,0.63,0.33,0.42,0.2,0.61,0.25,0.08
Lawtoncity,3.998089903,0.47,0.48,1,0.21,0.32,0.32,0.68,0.42,0.19,0.31,0.29,0.61,0.29,0.6,0.49,0.59,0.45,0.11,0.38,0.49,0.22,0.17,0.36,0.13,0
Wallingtonborough,0.225876149,0.27,0.25,1,0.34,0.54,0.21,0.58,0.12,0.51,0.53,0.24,0.52,0.46,0.41,0.37,0.72,0.52,0.66,0.85,0.27,0.49,0.72,0.62,0.9,0.36
Hollywoodcity,3.416685823,0.26,0.25,1,0.26,0.74,0.24,0.42,0.28,0.29,0.47,0.24,0.37,0.36,0.64,0.34,0.54,0.59,0.4,0.29,0.58,0.39,0.53,0.16,0.37,0.11
Amarillocity,2.875136929,0.4,0.41,1,0.22,0.42,0.26,0.34,0.44,0.29,0.41,0.27,0.42,0.27,0.66,0.49,0.62,0.52,0.12,0.55,0.55,0.21,0.12,0.68,0.15,0.05
Yanktoncity,0.836784305,0.39,0.4,0,0.16,0.59,0.21,0.31,0.31,0.46,0.35,0.32,0.07,0.4,0.37,0.44,0.68,0.9,0.01,0.83,0.53,0.13,0.02,0.69,0.14,0
Bogalusacity,4.475903879,0.36,0.44,0,0.04,0.77,0.87,0.57,0.99,0.61,0.68,0.14,1,0.37,0.69,0.45,0.22,0.4,0,0.49,0.59,0.04,0.01,0.79,0.13,0
SanLuisObispocity,2.45102643,0.35,0.82,1,0.24,0.38,0.22,0.45,0.73,0.13,0.17,0.56,0.34,1,0.38,0.28,0.55,0.57,0.25,0.81,0.3,0.52,0.25,0.6,0.38,0.11
WestGoshentownship,0.907142376,0.51,0.34,1,0.65,0.32,0.13,0.34,0.04,0.13,0.16,0.63,0.07,0.4,0.25,0.53,0.88,0.66,0.13,0.83,0.66,0.52,0.1,0.72,0.13,0.15
ElCampocity,2.611281052,0.49,0.45,0,0.16,0.59,0.34,0.26,0.58,0.78,0.72,0.18,0.53,0.31,0.44,0.6,0.62,0.48,0.08,0.68,0.54,0.14,0.11,0.93,0.15,0
Tucsoncity,4.083559105,0.35,0.5,1,0.17,0.45,0.31,0.49,0.53,0.32,0.36,0.32,0.53,0.58,0.7,0.47,0.45,0.52,0.34,0.53,0.4,0.25,0.32,0.3,0.22,0.24
BoyntonBeachcity,5.634125019,0.24,0.2,1,0.28,0.88,0.19,0.73,0.24,0.33,0.46,0.25,0.31,0.28,0.49,0.23,0.45,0.67,0.29,0.1,0.73,0.5,0.37,0.15,0.25,0.06
WestManchestertownship,0.599774459,0.34,0.3,0.83,0.34,0.58,0.11,0.68,0.09,0.36,0.42,0.22,0.15,0.24,0.29,0.29,0.85,0.71,0.03,0.88,0.73,0.39,0.06,0.9,0.06,0.05
Eastontown,0.666006883,0.66,0.62,0.74,0.64,0.33,0.18,0.36,0.09,0.09,0.14,0.52,0.26,0.51,0.24,0.6,0.86,0.63,0.05,0.86,0.76,0.65,0.11,0.83,0.06,0.18
SantaClaracity,2.008238542,0.39,0.36,1,0.54,0.3,0.27,0.38,0.15,0.22,0.27,0.49,0.24,0.67,0.62,0.44,0.59,0.58,0.7,0.88,0.34,0.75,0.68,0.41,0.43,0.14
Marysvillecity,5.188203852,0.4,0.39,1,0.16,0.54,0.9,0.61,0.43,0.31,0.41,0.17,0.8,0.43,0.92,0.44,0.36,0.23,0.19,0.79,0.29,0.24,0.21,0.55,0.29,0.01
WestWindsortownship,0.404290614,0.61,0.41,0,1,0.15,0.1,0.19,0.07,0.07,0.07,1,0.12,0.32,0.1,0.64,1,0.27,0.37,0.68,0.73,0.79,0.45,0.27,0.05,1
Inglewoodcity,8.690402556,0.64,0.48,1,0.3,0.24,0.55,0.27,0.43,0.59,0.6,0.23,0.68,0.71,0.77,0.83,0.28,0.49,1,0.74,0.2,0.53,0.86,0.36,1,0.42
Marpletownship,0.533118765,0.53,0.28,1,0.6,0.66,0.11,0.74,0.09,0.19,0.22,0.48,0.09,0.38,0.16,0.48,0.87,0.36,0.07,0.92,0.85,0.53,0.24,0.81,0.19,0.21
OrmondBeachcity,0.691427928,0.28,0.26,1,0.35,0.79,0.2,0.88,0.17,0.16,0.26,0.42,0.22,0.24,0.46,0.23,0.66,0.57,0.07,0.56,0.74,0.4,0.18,0.16,0.1,0.04
SantaMonicacity,6.864366598,0.07,0.13,1,0.4,0.37,0.22,0.26,0.24,0.19,0.19,0.71,0.27,0.73,0.82,0.26,0.52,0.43,0.48,0.77,0.08,0.46,0.75,0.28,0.88,0.3
Davietown,2.290798041,0.43,0.35,1,0.42,0.31,0.13,0.26,0.19,0.15,0.32,0.32,0.26,0.36,0.66,0.44,0.66,0.59,0.32,0.59,0.7,0.46,0.32,0.25,0.12,0.03
ScotchPlainstownship,0.509668031,0.51,0.3,1,0.77,0.44,0.09,0.48,0.02,0.15,0.19,0.68,0.19,0.36,0.22,0.49,0.86,0.43,0.18,0.93,0.8,0.7,0.32,0.59,0.19,0.42
